creature_name,body_type,color,activity,mood,quirk,full_prompt
"Diana","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Diana, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Diego","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Diego, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Diego","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Diego, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Diego","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Diego, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Dodo","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Dodo, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Dodo","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Dodo, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Dodo","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Dodo, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Echo","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Echo, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Echo","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Echo, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Echo","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Echo, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Echo428","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Echo428, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Echo428","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Echo428, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Echo428","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Echo428, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Echo686","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Echo686, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Echo686","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Echo686, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Echo686","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Echo686, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Elena","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Elena, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Elena","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Elena, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Elena","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Elena, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Eli","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Eli, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Eli","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Eli, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Eli","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Eli, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Eli388","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Eli388, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Eli388","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Eli388, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Eli388","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Eli388, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Eli588","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Eli588, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Eli588","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Eli588, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Eli588","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Eli588, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Ella","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Ella, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Ella","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Ella, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Ella","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Ella, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Elsa","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Elsa, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Elsa","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Elsa, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Elsa","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Elsa, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Emi","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Emi, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Emi","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Emi, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Emi","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Emi, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Emma","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Emma, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Emma","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Emma, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Emma","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Emma, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Enzo","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Enzo, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Enzo","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Enzo, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Enzo","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Enzo, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Enzo808","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Enzo808, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Enzo808","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Enzo808, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Enzo808","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Enzo808, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Era","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Era, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Era","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Era, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Era","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Era, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Era930","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Era930, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Era930","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Era930, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Era930","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Era930, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Erik","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Erik, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Erik","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Erik, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Erik","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Erik, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Felix","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Felix, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Felix","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Felix, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Felix","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Felix, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Felix523","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Felix523, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Felix523","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Felix523, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Felix523","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Felix523, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Fern","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Fern, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Fern","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Fern, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Fern","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Fern, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Fern518","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Fern518, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Fern518","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Fern518, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Fern518","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Fern518, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Fifi","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Fifi, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Fifi","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Fifi, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Fifi","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Fifi, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Finn","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Finn, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Finn","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Finn, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Finn","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Finn, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Flo","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Flo, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Flo","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Flo, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Flo","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Flo, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Forest","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Forest, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Forest","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Forest, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Forest","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Forest, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Freya","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Freya, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Freya","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Freya, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Freya","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Freya, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Freya171","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Freya171, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Freya171","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Freya171, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Freya171","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Freya171, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Gia","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Gia, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Gia","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Gia, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Gia","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Gia, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Gia490","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Gia490, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Gia490","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Gia490, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Gia490","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Gia490, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
"Gigi","Robot","Metallic Silver","Computing","Analytical","Antenna Array","A chibi character named Gigi, chibi robot, mechanical parts, shiny metal body, glowing eyes, circuits visible, tech aesthetic, shiny metallic silver color scheme, processing data, digital displays visible, analytical expression, calculating, small antenna protruding from head, white background, full body, simple design, high quality digital art"
"Gigi","Zombie","Decay Green","Shambling","Hungry","Visible Stitches","A chibi character named Gigi, chibi zombie, undead, tattered clothes, stitches, slightly decomposed, pastel zombie colors, pale sickly green tones, shambling forward slowly, hungry undead expression, prominent stitches across body, white background, full body, simple design, high quality digital art"
"Gigi","Gothic","Midnight Black","Reading Poetry","Melancholic","Lace Collar","A chibi character named Gigi, chibi gothic, dark aesthetic, victorian gothic elements, lace details, dark makeup, elegant dark clothing, mysterious vibe, deep black with subtle highlights, reading from old leather-bound book, melancholic wistful expression, ornate lace collar detail, white background, full body, simple design, high quality digital art"
